symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de
4270,2024,600000000,926067643,-219413027,-0.56054,-0.16065,-3.3443,-3.66,4.6902,2.3381
6004,2021,820000000,1058112338,14055459,0.01611,0.00728,458.2353,0.17,10.6405,0.5438
6004,2022,820000000,911268650,257103138,0.25808,0.12979,23.8854,3.14,13.6576,0.2745
6004,2023,820000000,908823567,282657704,0.23496,0.13377,37.3913,3.45,15.6838,0.1903
6004,2024,820000000,1236022691,352770108,0.2577,0.1445,,,17.7051,0.2611
1212,2021,800000000,1383893744,202368832,0.13941,0.07007,15.7312,2.53,18.1455,0.3848
1212,2022,800000000,1611766736,474316220,0.28737,0.14792,8.7184,5.93,23.1173,0.2859
1212,2023,800000000,2141001450,475326552,0.23902,0.12192,22.4242,5.94,26.5988,0.4565
1212,2024,800000000,1797093481,589340930,0.25339,0.13705,24.4233,7.37,31.5476,0.2043
1214,2021,630000000,852487000,27423000,0.04402,0.01842,50.3636,0.4992,11.2183,0.7819
1214,2022,482334000,943720000,32832000,0.05141,0.02115,28.1176,0.591,11.7956,0.8661
1214,2023,482334000,791096000,65427000,0.09538,0.04188,20.5852,1.18,12.9321,0.5763
1214,2024,555000000,795308000,81586000,0.10764,0.0526,18.4014,1.47,14.3814,0.3628
1302,2021,600000000,1412850000,170342000,0.23034,0.07733,12.3415,2.84,12.3252,0.9716
1302,2022,600000000,1353414000,162850000,0.20318,0.07261,10.8303,2.71,14.3915,0.7187
1302,2023,600000000,1203192000,136040000,0.15256,0.06118,20.0881,2.27,15.3321,0.4859
1302,2024,600000000,1636428000,106032000,0.11471,0.04453,31.6384,1.77,15.4798,0.9789
1303,2021,450000000,660230498,48845470,0.0831,0.03914,25.3211,0.0436,0.5284,0.4406
1303,2022,450000000,1043008429,94170010,0.15456,0.06446,11.75,0.08,0.567,0.7254
1303,2023,562500000,1151124984,201033987,0.29229,0.11263,15.7778,0.18,0.6695,0.5584
1303,2024,562500000,1004926370,401730829,0.47518,0.20886,20.1111,0.36,0.8504,0.0964
2040,2021,800000000,1151767000,233792000,0.13985,0.08164,18.8055,2.344,16.7172,0.4329
2040,2022,800000000,1237597000,173920000,0.10167,0.05908,13.0963,1.744,17.497,0.4267
2040,2023,800000000,1354611000,-210351000,-0.12928,-0.07139,-9.4592,-2.33,15.0451,0.5928
2040,2024,1000000000,1251909000,-71859000,-0.04908,-0.02592,-42.625,-0.8,14.2408,0.5852
2110,2021,360614000,988919000,-194309000,-2.31878,-0.18159,-19.5704,-5.39,12.5574,5.6184
2110,2022,66729000,1293263000,-580476000,2.81316,-0.62429,-2.2825,-25.04,-74.403,-0.9524
2110,2023,66729000,1053717000,17804000,-0.03634,0.02618,21.4232,2.67,-72.4314,-0.2289
2110,2024,66729000,1158935000,48758000,-0.10802,0.07445,13.8356,7.3,-62.8573,-0.2598
2160,2021,320000000,1958982000,-171317000,-0.52648,-0.07437,-3.1446,-18.4265,10.7748,3.4803
2160,2022,99000000,1921520000,-8781000,-0.02649,-0.00383,-111.5608,-0.2913,11.2141,3.3992
2160,2023,99000000,2114902000,-174656000,-0.69131,-0.07607,-15.2792,-3.94,5.5745,6.8609
2160,2024,445500000,1118103000,439836000,0.83902,0.20271,2.8579,9.92,19.8652,0.299
2320,2021,426313120,1610572517,51029030,0.06261,0.0209,26.25,0.8,12.7451,1.3654
2320,2022,426313120,1961086679,52630638,0.06425,0.02009,16.8353,0.83,12.8735,1.6764
2320,2023,639469680,2007933790,141491850,0.16376,0.04941,12.4434,2.21,14.1498,1.4252
2320,2024,639469680,1793467342,265748386,0.26892,0.0914,9.375,4.16,16.7574,0.8877
2370,2021,400000000,327781894,-22716042,-0.06713,-0.0341,-35.5088,-0.57,8.4592,0.2465
2370,2022,400000000,439782782,-11788217,-0.03536,-0.01644,-34.1379,-0.29,8.2074,0.3245
2370,2023,400000000,393495121,48935113,0.13864,0.06358,18.3115,1.22,9.4409,0.0427
2370,2024,400000000,464435998,90997994,0.21618,0.10707,19.1189,2.27,11.6063,0.1989
4110,2021,300000000,737049017,-9649264,-0.04273,-0.00992,-76.6875,-0.032,0.4731,1.2351
4110,2022,600000000,876296229,-30837648,-0.08926,-0.0265,-47.32,-0.05,0.7753,0.5021
4110,2023,600000000,1009901565,-13890857,-0.03016,-0.00982,-92.1739,-0.023,0.7602,0.5451
4110,2024,600000000,1104267457,-56556790,-0.13256,-0.03788,-38.9362,-0.094,0.6619,0.7479
4140,2021,64800000,11188549,-14883172,-1.14818,-0.61626,-42.7393,-0.0914,0.0795,0.0743
4140,2022,194400000,8670520,-21093008,-0.24387,-0.21876,-20.2614,-0.153,0.8232,0
4140,2023,194400000,9233161,-15604475,-0.1025,-0.09681,-35.375,-0.08,0.743,0.04749568415637860082
4140,2024,194400000,8811967,-19566893,-0.14527,-0.13615,-24.5,-0.1,0.6427,0.04532904835390946502
4141,2021,60000000,76532013,9934641,0.0858,0.05179,65.1807,0.9759,11.3443,0.4126
4141,2022,60000000,75219786,5791528,0.05009,0.03032,42.9693,0.97,11.3129,0.396
