base_symbol,first_date,last_date,first_year,last_year,source
4346,2021-09-30,2025-11-02,2021,2025,yahoo_period_max
4347,2018-07-25,2025-11-02,2018,2025,yahoo_period_max
4348,2021-09-30,2025-11-02,2021,2025,yahoo_period_max
4350,2024-09-04,2025-11-02,2024,2025,yahoo_period_max
4700,2022-08-23,2025-11-02,2022,2025,yahoo_period_max
4701,2022-08-23,2025-11-02,2022,2025,yahoo_period_max
4702,2024-07-17,2025-11-02,2024,2025,yahoo_period_max
4703,2024-07-24,2025-11-02,2024,2025,yahoo_period_max
5110,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
6001,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
6002,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
6004,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
6010,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
6012,2019-11-21,2025-11-02,2019,2025,yahoo_period_max
6013,2021-07-01,2025-11-02,2021,2025,yahoo_period_max
6014,2022-08-23,2025-11-02,2022,2025,yahoo_period_max
6015,2022-12-20,2025-11-02,2022,2025,yahoo_period_max
6016,2024-10-28,2025-11-02,2024,2025,yahoo_period_max
6017,2024-12-01,2025-11-02,2024,2025,yahoo_period_max
6018,2025-07-22,2025-11-02,2025,2025,yahoo_period_max
6020,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
6040,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
6050,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
6060,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
6070,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
6090,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
7010,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
7020,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
7030,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
7040,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
7200,2019-04-24,2025-11-02,2019,2025,yahoo_period_max
7201,2020-04-15,2025-11-02,2020,2025,yahoo_period_max
7202,2021-10-17,2025-11-02,2021,2025,yahoo_period_max
7203,2022-02-16,2025-11-02,2022,2025,yahoo_period_max
