symbol,distribution_date,dividend_amount
3010,2023-08-24,0.75
3080,2023-09-07,0.6
7203,2023-08-24,3.0
4013,2023-08-28,1.0
1302,2023-09-17,0.65
2083,2023-08-30,1.1
4190,2023-08-16,0.15
2381,2023-11-13,2.53
6004,2023-08-31,1.0
4164,2023-08-24,2.5
4342,2023-09-06,0.2
4322,2023-10-10,0.16
4700,2023-08-21,0.28
2250,2023-08-24,0.5
4144,2023-08-17,1.25
9403,2023-08-16,0.048
4348,2023-10-08,0.105
1830,2023-08-15,0.75
4003,2023-08-20,1.5
2283,2023-08-14,1.37
2223,2023-10-15,5.0
1060,2023-08-28,0.88
7010,2023-08-23,0.4
1030,2023-08-15,0.4
4191,2023-10-03,0.5
4260,2023-09-13,0.5
4150,2023-08-31,0.25
1150,2023-08-23,0.3
4344,2023-08-31,0.1341
1050,2023-08-20,0.95
1180,2023-08-13,0.85
9404,2023-08-08,0.8
1120,2023-08-14,1.15
1080,2023-08-08,0.65
4082,2023-09-06,0.53
1010,2023-08-07,0.65
4333,2023-08-15,0.16
4012,2023-08-07,0.0875
4162,2023-08-22,1.25
4336,2023-08-17,0.1
4321,2023-08-13,0.87
7200,2023-08-09,1.5
4192,2023-07-19,0.1
4345,2023-07-23,0.13
4339,2023-09-07,0.1
4340,2023-07-30,0.12
9403,2023-07-17,0.008
2310,2023-07-19,1.25
2080,2023-07-19,1.0
4004,2023-07-20,0.5
2270,2023-09-10,3.0
4007,2023-07-12,0.35
2010,2023-10-02,1.8
3030,2023-06-20,1.5
2020,2023-07-31,3.0
2290,2023-08-06,1.0
4261,2023-06-13,0.49
1322,2023-06-15,1.0
1183,2023-07-13,0.5
3060,2023-06-20,1.5
1321,2023-07-30,1.0
3040,2023-06-14,0.65
1202,2023-07-11,0.5
4161,2023-06-14,1.0
3004,2023-06-15,0.25
4342,2023-06-22,0.2
4347,2023-06-19,0.33
4071,2023-07-13,0.4
8250,2023-07-04,0.5
3001,2023-06-22,0.25
1830,2023-05-31,0.64
1150,2023-06-12,0.25
6014,2023-06-05,0.5
7010,2023-06-07,0.4
2222,2023-05-31,0.3024
8010,2023-06-19,1.0
4190,2023-05-24,2.05
4013,2023-05-29,1.0
4344,2023-06-15,0.1562
8210,2023-07-17,3.6
4340,2023-05-22,0.15
4333,2023-05-28,0.16
9403,2023-05-16,0.039
4348,2023-07-23,0.105
2281,2023-07-04,3.5
4003,2023-06-04,2.0
4336,2023-05-08,0.13
2190,2023-05-16,0.4
4345,2023-05-09,0.125
9403,2023-04-25,0.029
2320,2023-06-19,0.5
4339,2023-05-21,0.112
4321,2023-04-25,1.0
4280,2024-01-15,0.07
4280,2023-10-16,0.07
4280,2023-07-18,0.07
2030,2023-07-19,1.0
4100,2023-06-20,1.0
4280,2023-05-29,0.07
4006,2023-06-05,0.5
4261,2023-04-13,0.59
3050,2023-06-11,0.5
7203,2023-04-13,3.0
2120,2023-06-19,0.5
2050,2023-05-31,0.66
7030,2023-07-12,0.5
4330,2023-05-02,0.25
6014,2023-04-13,1.0
4011,2023-07-13,0.3
4162,2023-05-17,1.0
6004,2023-04-30,0.5
4323,2023-04-13,1.0
1210,2023-07-02,1.0
4005,2023-07-10,1.0
4150,2023-05-18,0.25
4163,2023-05-01,1.25
4164,2023-04-10,3.0
3080,2023-04-13,1.0
4192,2023-04-04,1.0
3003,2023-04-04,0.5
1212,2023-06-04,2.5
6002,2023-05-24,0.5
4051,2023-05-17,1.1
1182,2023-05-15,0.8
4030,2023-07-16,0.5
5110,2023-05-25,0.7
4144,2023-05-09,1.0
4190,2023-03-29,2.2
4334,2023-03-30,0.18
4142,2023-07-13,1.5
3002,2023-05-04,0.25
4320,2023-03-28,0.25
1830,2023-03-27,1.11
2222,2023-03-20,0.3326
4338,2023-03-31,0.3
4342,2023-04-11,0.2
1831,2023-03-22,1.0
1302,2023-04-06,0.65
6070,2023-05-03,0.5
3007,2023-06-04,0.6
4007,2023-03-22,0.35
2083,2023-03-23,1.1
4322,2023-05-11,3.0
9403,2023-03-16,0.022
4012,2023-04-04,0.75
1111,2023-05-21,2.31
4260,2023-05-09,1.5
3010,2023-04-17,1.1
6015,2023-04-26,0.0461
2040,2023-03-28,0.5
2330,2023-05-28,0.55
7020,2023-06-21,1.15
3040,2023-04-05,0.6
7010,2023-03-16,0.4
2223,2023-05-11,5.0
4013,2023-03-13,0.93
7202,2023-05-28,5.0
3020,2023-04-09,1.0
1060,2023-05-18,0.74
4001,2023-03-02,2.75
4340,2023-02-26,0.33
3030,2023-05-07,1.75
4348,2023-04-11,0.105
9403,2023-02-16,0.0513
4700,2023-02-20,0.28
2082,2023-07-12,0.83
4333,2023-02-21,0.16
4335,2023-03-19,0.2
4200,2023-05-15,2.0
4336,2023-02-13,0.13
1120,2023-04-02,1.25
1180,2023-05-18,0.6
7200,2023-03-12,1.2
2270,2023-01-23,3.0
4321,2023-02-12,0.75
4180,2023-05-18,0.4
1140,2023-05-10,0.5
4339,2023-03-12,0.14
9403,2023-01-16,0.0055
2150,2023-02-09,0.5
4192,2023-01-12,1.0
