symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de,earnings_yield
2010,2024,30000000000.0000,94100634000.0000,1538542000.0000,0.0095,0.0054,131.3725,0.510000,52.277700,0.224400,0.00761194
2020,2021,4760354000.0000,2825888000.0000,5228016000.0000,0.3362,0.2633,16.0838,10.980000,32.667300,0.011500,0.06217436
2020,2022,4760354000.0000,6086708000.0000,10036764000.0000,0.5663,0.4279,6.9355,21.080000,41.791000,0.012400,0.14418571
2020,2023,4760354000.0000,6504221000.0000,3659449000.0000,0.1945,0.1398,17.9714,7.690000,37.271000,0.012000,0.05564397
2020,2024,4760354000.0000,6010543000.0000,3327172000.0000,0.1837,0.1309,15.8798,6.990000,38.806800,0.010400,0.06297309
2060,2021,6689142000.0000,13417283000.0000,1356388000.0000,0.1559,0.0543,9.8325,2.030000,13.009200,0.935100,0.10170353
2060,2022,6689142000.0000,12262471000.0000,666346000.0000,0.0728,0.0269,12.3600,1.000000,14.374000,0.741000,0.08090615
2060,2023,6689142000.0000,13193460000.0000,201628000.0000,0.0209,0.0081,41.2667,0.300000,14.466100,0.748600,0.02423261
2060,2024,6689142000.0000,14357485000.0000,102802000.0000,0.0106,0.0040,67.7333,0.150000,14.432600,0.969900,0.01476379
2090,2021,316666667.0000,27928037.0000,20759125.0000,0.0449,0.0423,68.1818,0.660000,14.602400,0.015900,0.01466667
2090,2022,316666667.0000,43068954.0000,-6442845.0000,-0.0157,-0.0145,-111.1000,-0.200000,11.262000,0.018900,
2090,2023,316666667.0000,44105330.0000,5127534.0000,0.0143,0.0127,146.5000,0.160000,11.436100,0.016900,0.00682594
2090,2024,316666667.0000,28308897.0000,-12693428.0000,-0.0358,-0.0325,-54.3500,-0.400000,10.958600,0.016000,
2150,2021,329000000.0000,126963841.0000,51114630.0000,0.0798,0.0666,28.3871,1.550000,19.458900,0.117700,0.03522727
2150,2022,329000000.0000,128461919.0000,104330993.0000,0.1567,0.1315,10.3312,3.170000,21.024100,0.085600,0.09679418
2150,2023,329000000.0000,66830638.0000,47878843.0000,0.0678,0.0595,27.3973,1.460000,21.933500,0.021200,0.03649995
2150,2024,329000000.0000,78692392.0000,96831561.0000,0.1312,0.1194,18.4694,2.940000,22.926600,0.035000,0.05414361
2170,2021,692000000.0000,1763623000.0000,1622307000.0000,0.6229,0.3123,2.3038,23.440000,52.781800,0.458800,0.43406546
2170,2022,692000000.0000,1422715000.0000,64543000.0000,0.0249,0.0129,40.0538,0.930000,52.459700,0.400300,0.02496642
2170,2023,692000000.0000,1554850000.0000,-82245000.0000,-0.0293,-0.0175,-25.0621,-1.610000,43.817100,0.364000,
2170,2024,692000000.0000,490516000.0000,-50703000.0000,-0.0155,-0.0100,-52.4658,-0.730000,50.478800,0.007500,
2180,2021,115000000.0000,183356852.0000,-9063067.0000,-0.0755,-0.0299,-66.7089,-0.790000,10.442400,0.885900,
2180,2022,115000000.0000,154996313.0000,9795159.0000,0.0777,0.0332,41.0000,0.850000,11.481200,0.579300,0.02439024
2180,2023,115000000.0000,143027171.0000,11989910.0000,0.0870,0.0418,52.6923,1.040000,12.495800,0.414400,0.01897810
2180,2024,115000000.0000,136077381.0000,930509.0000,0.0064,0.0033,,,12.647500,0.346000,
2200,2021,400000000.0000,454919000.0000,-60116000.0000,-0.5687,-0.1072,-14.6068,-0.300500,0.528500,2.871600,
2200,2022,100000000.0000,667242000.0000,-10488000.0000,-0.1013,-0.0158,-50.7936,-0.052500,0.506600,4.244000,
2200,2023,100000000.0000,674594000.0000,132105000.0000,0.7900,0.1576,12.8889,0.660000,1.165600,2.011700,0.07758614
2200,2024,150000000.0000,530264000.0000,168177000.0000,0.5302,0.1829,14.5000,0.840000,2.006600,1.044200,0.06896552
2210,2021,235200000.0000,820671000.0000,27689000.0000,0.0792,0.0237,27.4002,1.177000,14.978300,1.507800,0.03649608
2210,2022,235200000.0000,747111000.0000,37016000.0000,0.1006,0.0321,20.9657,1.574000,16.410500,1.266300,0.04769695
2210,2023,235200000.0000,777935000.0000,-156885000.0000,-0.5098,-0.1466,-4.8126,-6.670000,9.756600,2.292400,
2210,2024,235200000.0000,855007000.0000,11719000.0000,0.0495,0.0111,,,10.379400,2.298100,
2220,2021,354000000.0000,150862198.0000,-29130080.0000,-0.0828,-0.0580,-26.1735,-0.980000,9.937800,0.121600,
2220,2022,354000000.0000,130087782.0000,-38997304.0000,-0.1169,-0.0823,-15.3818,-1.100000,8.914300,0.106600,
2220,2023,354000000.0000,113938352.0000,-31470394.0000,-0.1049,-0.0746,-22.3146,-0.890000,8.030500,0.101300,
2220,2024,354000000.0000,128638135.0000,-40296356.0000,-0.1521,-0.1044,-15.5439,-1.140000,6.934400,0.115000,
2223,2021,441000000.0000,4119756906.0000,1502515031.0000,0.3540,0.1796,,8.900000,25.152900,0.556700,
2223,2022,1687500000.0000,3561986000.0000,1978080000.0000,0.4241,0.2326,7.9352,11.720000,30.224400,0.435300,0.12602077
